key,en,ar,az,bn,de,fr,id,it,ms,ru,tr,ur
method_muis,Islamic Religious Council of Singapore (MUIS),المجلس الديني الإسلامي في سنغافورة (MUIS),Sinqapur İslam Dini Şurası (MUIS),সিঙ্গাপুরের ইসলামিক ধর্মীয় কাউন্সিল (MUIS),Islamischer Religionsrat von Singapur (MUIS),Conseil religieux islamique de Singapour (MUIS),Dewan Majelis Ulama Singapura (MUIS),Consiglio religioso islamico di Singapore (MUIS),Majilis Ugama Islam Singapore (MUIS),Исламский Религиозный Совет Сингапура (MUIS),Singapur İslam Dini Konseyi (MUIS),سنگاپور کی اسلامی مذہبی کونسل (MUIS)
method_mwl,Muslim World League (MWL),رابطة العالم الإسلامي (MWL),Müsəlman Dünyası Liqası (MWL),মুসলিম ওয়ার্ল্ড লীগ (MWL),Islamische Weltliga (MWL),Ligue musulmane mondiale (MWL),Liga Muslim Dunia (MWL),Lega Mondiale Musulmana (MWL),Liga Dunia Muslim (MWL),Всемирная Мусульманская Лига (MWL),Müslüman Dünya Ligi (MWL),مسلم ولڈ لیگ (MWL)
method_mwl_countries,"Europe, Far East, parts of US, and other countries",أوروبا والشرق الأقصى وأجزاء من الولايات المتحدة وبلدان أخرى,"Avropa, Uzaq Şərq, ABŞ-ın bəzi hissələri və digər ölkələr","ইউরোপ, সুদূর পূর্ব, মার্কিন অংশ এবং অন্যান্য দেশ","Europa, Fernost, Teile der USA und andere Länder","Europe, Extrême-Orient, certaines parties des États-Unis et d'autres pays","Eropa, Timur Jauh, sebagian AS, dan negara lainnya","Europa, Estremo Oriente, parti degli Stati Uniti e altri paesi","Eropah, Timur Jauh, sebahagian dari AS, dan negara lain","Европа, Дальний Восток, часть США и другие страны","Avrupa, Uzak Doğu, ABD'nin bazı bölgeleri ve diğer ülkeler",یورپ، مشرق بعید، امریکہ کے کچھ حصے اور دیگر ممالک
method_uoif,Union of Islamic Organisations of France (UOIF),اتحاد المنظمات الإسلامية الفرنسية (UOIF),Fransa İslam Təşkilatları Birliyi (UOIF),ফ্রান্সের ইসলামিক সংগঠনগুলির ইউনিয়ন (UOIF),Union der islamischen Organisationen Frankreichs (UOIF),Union des organisations islamiques de France (UOIF),Organisasi Islam Prancis (UOIF),Unione delle organizzazioni islamiche di Francia (UOIF),Kesatuan Pertubuhan Islam Perancis (UOIF),Союз Исламских Организаций Франции (UOIF),Fransa İslami Kuruluşlar Birliği (UOIF),فرانس کی اسلامی تنظیموں کی یونین (UOIF)
middle_of_night,Middle of the Night,منتصف الليل,Gecənin ortası,রাতের মাঝখানে,Mitte der Nacht,Au milieu de la nuit,Pertengahan Malam,In mezzo alla notte,Di tengah Malam,Середина ночи,Gecenin yarısı,آدھی رات
midnight,Midnight,منتصف الليل,Gecə yarısı,মধ্যরাত,Mitternacht,Minuit,Tgh. Malam,Mezzanotte,Tgh. Malam,Полночь,Gece yarısı,آدھی رات
mini,Mini,الأقل,Mini,Mini,Mini,Mini,Mini,Mini,Mini,Мини,Mini,چھوٹا
mini_h_m_plus,{value}h {value2}m,{value}س {value2}د,{value}s {value2}d,{value}ঘ {value2}মি,{value}s {value2}m,{value}h {value2}m,{value}j {value2}m,{value}o {value2}m,{value}j {value2}m,{value}ч {value2}мин,{value}s {value2}d,{value}گھ {value2}م
mini_m_plus,{value}m,{value}د,{value}d,{value}মি,{value}m,{value}m,{value}m,{value}m,{value}m,{value}мин,{value}d,{value}م
minus,Minus,ناقص,Minus,Minus,Verringern,Moins,Kurang,Minus,Tolak,Минус,Minus,نفی
minus_day,− {value} day,− {value} يوم,− {value} gün,− {value} দিন,− {value} Tag,− {value} jour,− {value} hari,− {value} giorno,− {value} hari,− {value} день,− {value} gün,− {value} دن
minus_days,− {value} days,− {value} أيام,− {value} günlər,− {value} দিনগুলি,− {value} Tage,− {value} jours,− {value} hari,− {value} giorni,− {value} hari,− {value} дней,− {value} günler,− {value} دن
minus_sym,−,−,−,−,−,−,−,−,−,−,−,−
minute,Minute,دقيقة,Dəqiqə,মিনিট,Minute,Minute,Menit,Minuto,Minit,мин,Dakika,منٹ
minute_mini,m,د,d,মি,m,m,m,m,m,мин,d,م
minutes,Minutes,دقائق,Dəqiqə,মিনিট,Minuten,Minutes,Menit,Minuti,Minit,мин,Dakikalar,منٹ
minutes_after_prayer_time,{value} after prayer time,{value} بعد وقت الصلاة,Namaz vaxtından sonra {value},{value} নামাযের সময় পর,{value} nach der Gebetszeit,{value} après le temps de prière,{value} setelah waktu salat,{value} dopo l'ora della preghiera,{value} selepas waktu solat,{value} после времени молитвы,{value} namaz vaktinden sonra,نماز کے وقت کے بعد {value}
minutes_ago,{value} ago,{value} مضت,{value} əvvəl,{value} আগে,vor {value},Il y a {value},{value} berlalu,{value} fa,{value} berlalu,{value} назад,{value} önce,{value} پہلے
minutes_before_prayer_time,{value} before prayer time,{value} قبل وقت الصلاة,Namaz vaxtından əvvəl {value},{value} নামাযের সময় আগে,{value} vor der Gebetszeit,{value} avant le temps de prière,{value} sebelum waktu salat,{value} prima dell'ora della preghiera,{value} sebelum waktu solat,{value} до времени молитвы,Namaz vaktinden önce {value},نماز کے وقت سے پہلے {value}
mode,Mode,الوضع,Rejim,ধরন,Modus,Mode,Mode,Modalità,Mod,Метод,Mod,موڈ
mon,Mon,اثنين,B.ert,সোম,Mon,Lun,Sen,Lun,Isn,Пн,Pzt,پیر
mon_fasting,Monday Fasting,صيام يوم الإثنين,Bazar ertəsi orucu,সোমবারের রোজা,Montags-Fasten,Jeûne du lundi,Puasa Senin,Digiuno del lunedì,Puasa Isnin,Пост в Понедельник,Pazartesi Orucu,پیر کا روزہ
mon_mini,M,ن,B.E,ম,M,L,S,L,I,П,P,پ
mond,Mn,ني,B.E,সো,Mo,Lu,Sn,Lu,Is,Пн,Pt,سو
monday,Monday,الاثنين,Bazar ertəsi,সোমবার,Montag,Lundi,Senin,Lunedì,Isnin,Понедельник,Pazartesi,پیر
monthly,Monthly,شهري,Aylıq,মাসিক,Monatlich,Mensuel,Bulanan,Mensile,Bulanan,По месяцам,Aylık,ماہانہ
moon_phase,Moon phases,مراحل القمر,Ay fazaları,চাঁদের ধাপসমূহ,Mondphasen,Phases de la lune,Fase bulan,Fasi della Luna,Fasa bulan,Фазы луны,Ayın evreleri,چاند کا مرحلہ
more,More,المزيد,Daha çox,আরও,Mehr,Plus,Lainnya,Più,Lagi,Еще,Diğer,مزید
muh,Muh,مح,Muh,মহ,Muh,Mou,Muh,Muh,Muh,Мух,Muh,محرم
muha,Muharram,محرم,Muhərrəm,মহরম,Muharram,Mouharram,Muharam,Muharram,Muharam,Мухаррам,Muharrem,محرّم
muharram,Muharram,محرم,Muhərrəm,মহরম,Muharram,Mouharram,Muharam,Muharram,Muharam,Мухаррам,Muharrem,محرّم الحرام
mute_1_h,Mute 1 hour,كتم لمدة 1 ساعة,1 saat susdurun,নিঃশব্দ করুন ১ মিনিট,1 Stunde stummschalten,Muet 1 heure,Bisu 1 jam,Muto 1 ora,Bisu 1 jam,Тишина 1 ч,Sessiz kal 1 saat,١ گھنٹہ میوٹ
mute_30_m,Mute 30 minutes,كتم لمدة 30 دقيقة,Səssiz 30 dəqiqə,নিঃশব্দ করুন ৩০ মমিনিট,30 Minuten stummschalten,Muet 30 minutes,Bisu 30 menit,Muto 30 minuti,Bisu 30 minit,Тишина 30 мин,30 dk. sessiz kal,٣٠ منٹ میوٹ
mute_6_h,Mute 6 hours,كتم لمدة 6 ساعات,6 saat susdurun,নিঃশব্দ করুন ৬ মিনিট,6 Stunden stummschalten,Muet 6 heures,Bisu 6 jam,Muto 6 ore,Bisu 6 jam,Тишина 6 ч,Sessi kal 6 saat,۶ گھنٹے میوٹ
mute_info,Mute {value},كتم {value},{value} səssiz edin,{value} নিঃশব্দ করুন,Stummschalten {value},Muet {value},Bisu {value},Muto {value},Bisu {value},Тишина {value},Sessiz kal {value},میوٹ {value}
mute_summary,Temporarily mute all notifications and alarms from the app.,كتم جميع الإخطارات والتنبيهات مؤقتًا من التطبيق.,Tətbiqdən bütün bildirişləri və həyəcan siqnallarını müvəqqəti olaraq söndürün.,অ্যাপ থেকে সমস্ত নোটিফিকেশন এবং অ্যালার্ম সাময়িকভাবে মিউট করুন,Schalte vorübergehend alle Benachrichtigungen und Alarme der App stumm.,Désactivez temporairement toutes les notifications et alarmes de l'application.,Bisukan sementara semua notifikasi dan alarm dari aplikasi.,Disattiva temporaneamente tutte le notifiche e gli allarmi dall'app.,Senyapkan sementara semua notifikasi dan penggera dari aplikasi.,Временно отключить все уведомления и сигналы в приложении,Uygulamadan gelen tüm bildirimleri ve alarmları geçici olarak kapatın.,ایپ سے تمام اطلاعات اور الارم کو عارضی طور پر خاموش کریں۔
nearby_place_result,Result : {value},النتيجة: {value},Nəticə : {value},ফলাফলঃ {value},Ergebnis : {value},Résultat: {value},Hasil : {value},Risultato : {value},Keputusan : {value},Результат : {value},Sonuç: {value},نتیجہ: {value}
never,Never,أبدًا,Heç vaxt,কখনই না,Nie,Jamais,Tidak Pernah,Mai,Tidak pernah,Никогда,Asla,کبھی نہیں
new_themes_paid_dialog,Customize themes,تخصيص السمات,Temaları fərdiləşdirin,থিমগুলি কাস্টমাইজ করুন,Themen anpassen,Personnaliser les thèmes,Kustomisasi tema,Personalizza temi,Tema tersuai,Настроить темы,Tema ayarları,تھیم‌کو حسب ضرورت بنائیں
next,Next,التالي,Növbəti,পরে,Nächste,Suivant,Lanjut,Successivo,Seterusnya,Далее,Sıradaki,اگلا
next_hightlights,Upcoming color,اللون التالي,Qarşıdan gələn məqamlar,আসন্ন হাইলাইট সমূহ,Bevorstehende Farbe,Couleur prière prochains,Warna akan datang,I colori in arrivo,Warna akan datang,Предстоящий цвет,Yaklaşan renk,اگلا رنگ
night_black,Night Black,ليلي داكن,Gecə Qarası,রাত্রি কালো,Nachtschwarz,Nuit Noire,Malam Hitam,Nero Notturno,Hitam Malam,Темная Ночь,Gece siyahı,رات سیاہ
night_blue,Night Accent,درجة الوضع الليلي,Gecə vurğusu,রাতের উচ্চারণ,Nachtakzent,Accent de nuit,Malam Aksen,Accento di notte,Aksen Malam,Ночной Акцент,Gece Vurgusu,رات ایکسینٹ رنگ
no_compass_message,Sensors are not available on your device. Use map instead,أجهزة الاستشعار غير متوفرة على جهازك. استخدم الخريطة بدلاً من ذلك,Cihazınızda sensorlar mövcud deyil. Bunun əvəzinə xəritədən istifadə edin,সেন্সরগুলি আপনার ডিভাইসে উপলব্ধ নয়। ম্যাপ ব্যবহার করুন পরিবর্তে,Auf dem Gerät stehen keine Sensoren zur Verfügung. Bitte Karte nutzen,Les capteurs ne sont pas disponibles sur votre appareil. Utilisez plutôt la carte,Sensor tidak tersedia pada perangkat Anda. Silakan menggunakan peta.,"I sensori non sono disponibili sul tuo dispositivo, utilizzare la mappa al suo posto",Tiada terdapat sensor pada peranti anda. Gunakan peta sebaliknya,Датчики на вашем устройстве недоступны. Используйте карту,Sensörler cihazınızda mevcut değil. Bunun yerine haritayı kullan,آپکے فون پر سینسر دستیاب نہیں۔ نقشہ استعمال کریں
no_directory,No folder found,لم يتم العثور على المجلد,Heç bir qovluq tapılmadı,কোনও ফোল্ডার পাওয়া যায় নি,Kein Ordner gefunden,Aucun dossier trouvé,Tidak ditemukan folder,Nessuna cartella trovata,Tiada folder ditemui,Папка не найдена,Klasör bulunamadı,کوئی فولڈر نہیں ملا
no_email_client,No email app,لا يوجد تطبيق بريد إلكتروني,E-poçt tətbiqi yoxdur,কোন ইমেল অ্যাপ নেই,Keine E-Mail-App,Pas d'application pour le courrier électronique,Aplikasi surel tidak tersedia,Nessuna app di posta elettronica,Tiada aplikasi e-mel,Нет приложения электронной почты,Email uygulaması yok,ای میل ایپ نہیں ہے
no_file_manager_app,No file manager apps found,لم يتم العثور على تطبيقات مدير الملفات,No file manager apps found,কোন ফাইল ব্যবস্হাপনা এ্যাপলিকেশন পাওয়া যায়নি,Keine Dateimanager-Apps gefunden,Aucune application de gestion de fichiers trouvée,Tidak ada aplikasi pengelola file yang ditemukan,Nessuna app di gestione file trovata,Tiada apl pengurus fail ditemui,Приложение для управления файлами не найдено,Dosya yöneticisi uygulaması bulunamadı,فائل مینیجر ایپ نہیں ملی
no_internet,No internet connection,لا يوجد اتصال بالإنترنت,İnternet bağlantısı yoxdur,ইন্টারনেট সংযোগ নেই,Keine Internetverbindung,Pas de connexion internet,Tidak ada koneksi internet,Nessuna connessione internet,Tiada sambungan internet,Нет интернет соединения,İnternet bağlantısı yok,انٹرنیٹ نہیں ہے
no_internet_retry,"No internet connection. Make sure that Wi-Fi or cellular mobile data is turned in, then try again",لا يوجد اتصال بالإنترنت. تأكد من تشغيل Wi-Fi أو بيانات شبكة الجوال، ثم حاول مرة أخرى,"İnternet bağlantısı yoxdur. Wi-Fi və ya mobilnetdən qoşulduğundan əmin olun, sonra yenidən cəhd edin","কোনও ইন্টারনেট সংযোগ নেই। Wi-Fi বা সেলুলার মোবাইল ডেটা চালু আছে তা নিশ্চিত করুন, তারপরে আবার চেষ্টা করুন","Keine Internetverbindung. Vergewissern Sie sich, dass Wi-Fi oder mobile Daten aktiviert sind, und versuchen Sie es dann erneut","Pas de connexion internet. Assurez-vous que les données Wi-Fi ou les données cellulaires sont activées, puis réessayez","Koneksi internet tidak tersedia. Pastikan wi-fi atau Mobile data telah dihidupkan, kemudian coba lagi.","Nessuna connessione internet. Assicurati che il Wi-Fi o la connessione dati sia attiva, e riprovare","Tiada sambungan internet. Pastikan bahawa Wi-Fi atau data mudah alih selular dihidupkan, kemudian cuba lagi","Нет подключения к интернету. Убедитесь, что Wi-Fi или мобильный интернет включены, а затем повторите попытку","İnternet bağlantısı yok. Wi-Fi veya hücresel mobil verinin açık olduğundan emin olun, ardından tekrar deneyin",انٹرنیٹ کنکشن نہیں ہے۔ یقینی بنائیں کہ Wi-Fi یا سیلولر موبائل ڈیٹا آن ہے، پھر دوبارہ کوشش کریں۔
no_licenses_available,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.,This app does not have any open source licenses.
no_one_selected,No one selected,لم يتم تحديد شيء,Heçnə seçilməyib,কেউ নির্বাচিত হয়নি,Keiner ausgewählt,Pas de sélection,Tidak ada yang dipilih,Nessun selezionato,Satu tidak dipilih,Ничего не выбрано,Seçim yapılmadı,کوئی منتخب نہیں کیا گیا ہے
no_reminders,No personal reminders,لا توجد تذكيرات شخصية,Şəxsi xatırlatmalar yoxdur,কোনও ব্যক্তিগত অনুস্মারক নেই,Keine persönlichen Erinnerungen,Pas de rappels personnalisés,Tidak ada pengingat lain,Nessun promemoria personale,Tiada peringatan peribadi,Нет личных напоминаний,Kişisel hatırlatıcı yok,کوئی ذاتی یاددہانی نہیں
no_results,No Results,لا توجد نتائج,Nəticə yoxdur,ফলাফল নেই,Keine Ergebnisse,Pas de Résultat,Tidak ditemukan,Nessun risultato,Tiada Hasil,Не найдено,Sonuç yok,کوئی نتائج نہیں
no_timetables,No timetable available,لا يوجد جدول زمني متاح,No timetable available,কোন সময়সূচি পাওয়া যায়নি,Kein Zeitplan verfügbar,Aucun tableau d'horaire disponible,Tidak ada jadwal yang tersedia,Nessun orario disponibile,Tiada jadual tersedia,Расписание отсутствует,Takvim yok,کوئی ٹائم ٹیبل دستیاب نہیں
none,None,لا شيء,Heçkim,কিছুই নয়,Keine,Aucun,Tidak Ada,Nessuna,Tiada,Нет,Hiçbiri,کوئی نہیں
normal,Normal,عادي,Normal,Normal,Normal,Normal,Normal,Normale,Normal,Обычный,Normal,سادہ
north,True North,الشمال الحقيقي,Əsl Şimal,প্রকৃত উত্তর,True North,Nord vrai,Utara Sejati,Vero Nord,Utara Sebenar,Истинный север,Gerçek Kuzey,حقیقی شمال
not_set,Not set,لم يتمّ تحديد قيمة.,Ayarlanmayıb,সেট করা হয়নি,Nicht festgelegt,Non définie,Belum disetel,Non impostato,Tidak ditetapkan,Не указано,Ayarlanmadı,سیٹ نہیں ہے
not_set_2,Not set,غير مضبوط,Müəyyən edilməyib,সেট করা নেই,Nicht eingestellt,Non défini,Tidak ada,Non impostato,Tiada tetapan,Не установлено,Ayarlanmadı,سیٹ نہیں ہے
notif_before_info,{value} in {value2},بقي على {value} {value2},{value2} ilə {value},{value} শুরু {value2},{value} in {value2},{value} dans {value2},{value} mulai dalam {value2},{value} in {value2},{value} dalam {value2},{value} через {value2},{value2} içinde {value},{value2} میں {value}
notif_failed_loc_denied,Access denied. Go to settings to enable access,تم رفض الصلاحيات، انتقل إلى الإعدادات لتمكين الصلاحيات,Giriş qadağandır. Girişi təmin etmək üçün ayarlara gedin,অ্যাক্সেস অস্বীকৃত। অ্যাক্সেস সক্ষম করতে সেটিংসে যান,"Zugriff verweigert. Gehen Sie zu den Einstellungen, um den Zugriff zu aktivieren",Accès refusé. Aller aux paramètres pour activer l'accès,Izin ditolak. Pergi ke setelan untuk mengaktifkan izin,Accesso negato. Vai alle impostazioni per attivare l'accesso,Akses dinafikan. Pergi ke tetapan untuk dayakan akses,"Доступ запрещен. Перейдите в Настройки, чтобы включить доступ",Erişim engellendi. Erişimi etkinleştirmek için ayarlara gidin,رسائی مسترد کر دی. رسائی کو فعال کرنے کے لیے سیٹنگ پر جائیں
notif_failed_loc_title,Failed auto update location,فشل تحديث الموقع تلقائيًا,Avtomatik güncəlləmə məkanı alınmadı,অটো আপডেটের অবস্থান জানতে ব্যর্থ,Fehlgeschlagene automatische Standortaktualisierung,Échec de la mise à jour automatique de la localisation,Gagal perbarui lokasi otomatis,Aggiornamento posizione geografica fallito,Gagal kemas kini lokasi auto,Ошибка автоматического обновления местоположения,Otomatik lokasyon hatası,مقام خودبخود اپڈیٹ کرنے میں ناکام
notif_not_work,The notifications are not working?,الإشعارات لا تعمل؟,Bildirişlər işləmir?,নোটিফিকেশনগুলি কাজ করছে না?,Die Benachrichtigungen funktionieren nicht?,Les notifications ne fonctionnent pas?,Notifikasi tidak berjalan?,Le notifiche non funzionano?,Notifikasi tidak berfungsi?,Уведомления не работают?,Bildirimler çalışmıyor mu?,نوٹیفیکیشن کام نہیں کر رہے ہیں؟
notif_start_at,{value} at {value2},{value} في {value2},{value} {value2}-də,{value} সময় {value2},{value} um {value2},{value} à {value2},{value} pukul {value2},{value} a {value2},{value} pada {value2},{value} в {value2},{value2} de {value},{value2} بجے {value}
notif_tone,Notification Tone,نغمة الإشعار,Bildiriş tonu,নোটিফিকেশন টোন,Benachrichtigungston,Son de notification,Bunyi Notifikasi,Tono di notifica,Nada Notifikasi,Звук уведомления,Bildirim Tonu,نوٹیفیکیشن ٹون
notification,Notification,الإشعار,Bildiriş,নোটিফিকেশন,Benachrichtigung,Notification,Notifikasi,Notifiche,Notifikasi,Уведомление,Bildirimler,اطلاع
notification_bar,Notification Bar,شريط الإشعارات,Bildiriş çubuğu,নোটিফিকেশন বার,Benachrichtigungsleiste,Barre de Notification,Bar Notifikasi,Barra di Notifica,Bar Notifikasi,Панель Уведомлений,Bildirim çubuğu,نوٹیفیکیشن بار
notification_default,Notification Default,الإشعار الافتراضي,Bildirim Varsayılan,নোটিফিকেশন ডিফল্ট,Benachrichtigung Standard,Notification par défaut,Standar Notifikasi,Notifica predefinita,Lalai Pemberitahuan,Уведомление по умолчанию,Bildirim varsayılanı,نوٹیفکیشن ڈیفالٹ
notification_enabled,Notification enabled,تم تمكين الإشعارات,Notification enabled,Notification enabled,Benachrichtigung aktiviert,Notifications activées,Notifikasi diaktifkan,Notification enabled,Notification dibolehkan,Уведомления включены,Notification enabled,Notification enabled
notification_permission_needed,App requires permission to send notifications,التطبيق يحتاج إذن الوصول للإشعارات لكي تصل إليك,App requires notification permission to send notifications,App requires notification permission to send notifications,Die App benötigt eine Berechtigung zum Senden von Benachrichtigungen,App requires notification permission to send notifications,Aplikasi membutuhkan izin notifikasi untuk mengirim notifikasi,L'app richiede il permesso di notifica per inviare notifiche,Aplikasi memerlukan kebenaran untuk menghantar pemberitahuan,Приложению требуется разрешение на отправку уведомлений,"Uygulama, bildirim göndermek için bildirim izni gerektiriyor",ایپ کو اطلاعات بھیجنے کے لیے اطلاع کی اجازت درکار ہے
notification_settings,Notification Settings,إعدادات الإشعارات,Bildiriş parametrləri,নোটিফিকেশন সেটিংস,Benachrichtigungseinstellungen,Paramètres de Notification,Atur Notifikasi,Impostazioni di notifica,Tetapan Notifikasi,Настройки Уведомлений,Bildirim ayarları,اطلاع سیٹنگ
notification_settings_sum,"Notification, auto silent",الإشعار، صامت تلقائيًا,"Bildiriş, avtomatik səssiz","নোটিফিকেশন, অটো নিঃশব্দ","Benachrichtigung, automatische Lautlosfunktion","Notification, mode Silencieux automatique","Notifikasi, otomatis hening","Notifica, silenzio automatico","Notifikasi, auto senyap","Уведомление, автоматическая тишина","Bildirim, otomatik sessiz",نوٹیفیکیشن، خودکار سائلنٹ
notification_sound_mute,Notification sound muted {value},كتم صوت الإشعارات {value},Bildiriş səsi bağlıdı {value},Notification sound muted {value},Benachrichtigungston stummgeschaltet {value},Son de notification désactivé {value},Suara notifikasi dibisukan {value},Suono di notifica mutato {value},Bunyi notifikasi diredamkan {value},Звук уведомлений отключен {value},Bildirim sesi kapalı {value},نوٹیفیکیشن آواز میوٹ {value}
notification_sound_on,Notification sound on,تشغيل صوت الإشعارات,Bildiriş səsi aktivdir,Notification sound on,Benachrichtigungston eingeschaltet,Son de notification activé,Suara notifikasi aktif,Suono di notifica attivo,Bunyi notifikasi dihidupkan,Звук уведомлений включен,Bildirim sesi açık,نوٹیفیکیشن آواز آن
notification_volume,Notification volume,صوت الإشعارات,Notification volume,নোটিফিকেশন ভলিউম,Benachrichtigungslautstärke,Volume de notification,Volume notifikasi,Volume delle notifiche,Volum Notification,Громкость уведомлений,Bildirim sesi,نوٹیفیکیشن آواز مقدار
nov,Nov,نوف,Noy,নভে,Nov,Nov,Nov,Nov,Nov,Ноя,Kas,نومبر
november,November,نوفمبر,Noyabr,নভেম্বর,November,Novembre,November,Novembre,November,Ноябрь,Kasım,نومبر
now,Now,الآن,İndi,এখন,Jetzt,Maintenant,Sekarang,Adesso,Sekarang,Сейчас,Şimdi,ابھی
oct,Oct,اكت,Okt,অক্টো,Okt,Oct,Oct,Ott,Okt,Окт,Eki,اکتوبر
october,October,أكتوبر,Oktyabr,অক্টোবর,Oktober,Octobre,Oktober,Ottobre,Oktober,Октябрь,Ekim,اکتوبر
off,Off,إيقاف,Qapalı,বন্ধ,Aus,Désactivé,Mati,Off,Tutup,Выкл,Kapalı,آف
on,On,تفعيل,Açıq,চালু,An,Activé,Hidup,On,Buka,Вкл,Açık,آن
on_prayer_time,at start of prayer time,في بداية وقت الصلاة,namaz vaxtının əvvəlində,নামাযের সময়ের শুরুতে,zu Beginn der Gebetszeit,au début de l'heure de la prière,Ketika waktu salat,All'inizio dell'orario della preghiera,ketika mula waktu solat,в начале времени молитвы,namaz vakti başladığında,نماز کے وقت کی ابتداء میں
once,Once,مرة,Bir dəfə,Once,Einmal,Une seul fois,Sekali,Una volta,Sekali,Один раз,Bir kere,ایک مرتبہ
one_day_before,One day before,منذ يوم,Bir gün əvvəl,এক দিন পরে,Einen Tag vorher,Un jour avant,Satu hari sebelumnya,Un giorno prima,Sehari sebelum,За один день до,Bir gün önce,ایک دن قبل
one_seventh_night,One-Seventh of the Night,السابعة من الليل,Gecənin yeddinci hissəsi,রাতের এক-সপ্তমী,Ein Siebtel der Nacht,Un septième de la nuit,Satu ke Tujuh Malam,Un Settimo della notte,Satu-Pertujuh Malam,Одна седьмая ночи,Gecenin Yedide Biri,رات کا ساتواں حصہ
only_muted_ring,Just mute the ringtone volume. Some devices may still use Do Not Disturb,فقط كتم صوت نغمة الرنين. قد تستمر بعض الأجهزة في استخدام وضع الرجاء عدم الإزعاج,Sadəcə zil səsi səsini söndürün. Bəzi cihazlarda hələ Narahat Etməyin istifadə edə bilər,রিংটনের ভলিউম নিঃশব্দ করুন। কিছু ডিভাইস এখনও বিরক্ত করবেন না মোড ব্যবহার করতে পারে,Stellen Sie einfach die Lautstärke des Klingeltons auf stumm. Einige Geräte verwenden möglicherweise immer noch Bitte nicht stören,Il suffit de couper le volume de la sonnerie. Certains appareils peuvent encore utiliser la fonction Ne pas déranger,Hanya senyapkan volume nada dering. Beberapa perangkat mungkin tetap menggunakan Jangan Ganggu,Disattiva il volume della suoneria. Alcuni dispositivi potrebbero ancora utilizzare Non disturbare,Cuma senyapkan nada dering. Beberapa peranti masih lagi menggunakan Jangan Ganggu,Отключение громкости мелодии звонка. Некоторые устройства могут по-прежнему использовать режим Не беспокоить,Zil sesini kapatmanız yeterli. Bazı cihazlar hala Rahatsız Etmeyin özelliğini kullanabilir,صرف رنگ ٹون والیوم کو خاموش کریں۔ کچھ آلات اب بھی ڈسٹرب نہ کریں استعمال کر سکتے ہیں
open_sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans,Open Sans
open_source_licenses,Open Source Licenses,تراخيص مفتوحة المصدر,Açıq Mənbə Lisenziyaları,ওপেন সোর্স লাইসেন্সস,Open-Source-Lizenzen,Licences Open Source,Lisensi Sumber Terbuka,Licenze open source,Lesen Sumber Terbuka,Лицензии с Открытым Исходным Кодом,Açık Kaynak Lisansları,آزاد مصدر لائیسنس
oss_license_title,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses,Open source licenses
other_vendors,Other vendors,موَرد خارجي,Digər satıcılar,Other vendors,Andere Anbieter,Autres vendeurs,Vendor lainnya,Altri venditori,Vendor yang lain,Другие поставщики,Diğer satıcılar,دیکر وینڈرز
others,Others,أخرى,Digərləri,অন্যান্য,Andere,Autres,Lain-lain,Altri,Lain-lain,Другое,Digerleri,دیگر
outer,Outer,الخارجي,Xarici,Outer,Außen,Extérieur,Bagian luar,Esterno,Luar,Внешний,Dış,باہری
p_policy,Privacy Policy,سياسة الخصوصية,Gizlilik Siyasəti,গোপনীয়তা নীতি,Datenschutzrichtlinie,Politique de confidentialité,Kebijakan Privasi,Informativa sulla privacy,Polisi Privasi,Политика конфиденциальности,Gizlilik Politikası,رازداری پالیسی
paid_dialog_info,Upgrade to pro version and unlock extra features:,الترقية إلى الإصدار الإحترافي وإلغاء قفل الميزات الإضافية:,Pro versiyasına keçin və əlavə xüsusiyyətlərin kilidini açın:,প্রো সংস্করণে আপগ্রেড করুন এবং অতিরিক্ত বৈশিষ্ট্যগুলি আনলক করুন:,Upgraden Sie auf die Pro-Version und schalten Sie zusätzliche Funktionen frei:,Passez à la version pro et débloquez des fonctionnalités supplémentaires:,Tingkatkan aplikasi ke versi PRO untuk membuka fitur berikut:,Passa alla versione pro e sblocca le funzionalità extra:,Naik taraf ke versi pro dan buka kunci ciri tambahan:,Обновить до PRO версии и разблокировать дополнительные функции,Profesyonel sürüme yükseltin ve ekstra özelliklerin kilidini açın:,پرو ورژن میں اپ‌گریڈ کریں اور اضافی خصوصیات کو غیرمقفل کریں:
